"Metan (CH4) (t)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..
"Metan (CH4) (t)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",2565.4
"Metan (CH4) (t)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",17718.3
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",4470.5
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",4472.2
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",4913.4
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",4915.1
"Metan (CH4) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",9.6
"Metan (CH4) (kt CO2-ekv.)","AVFALL, TOTALT",958.0
"Metan (CH4) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",45.4
"Metan (CH4) (kt CO2-ekv.)","INDUSTRI, TOTALT",92.3
"Metan (CH4) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",20.0
"Metan (CH4) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",1.7
"Metan (CH4) (kt CO2-ekv.)","JORDBRUK, TOTALT",3281.1
"Metan (CH4) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..
"Metan (CH4) (kt CO2-ekv.)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",64.1
"Metan (CH4) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",443.0
"Lustgas (N2O) (t)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",15964.0
"Lustgas (N2O) (t)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",16487.9
"Lustgas (N2O) (t)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",20117.7
"Lustgas (N2O) (t)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",20641.6
"Lustgas (N2O) (t)","ARBETSMASKINER, TOTALT",138.8
"Lustgas (N2O) (t)","AVFALL, TOTALT",795.6
"Lustgas (N2O) (t)","EL OCH FJÄRRVÄRME, TOTALT",821.6
"Lustgas (N2O) (t)","INDUSTRI, TOTALT",875.0
"Lustgas (N2O) (t)","INRIKES TRANSPORTER, TOTALT",518.3
"Lustgas (N2O) (t)","UTRIKES TRANSPORTER, TOTALT",523.9
"Lustgas (N2O) (t)","JORDBRUK, TOTALT",12150.5
"Lustgas (N2O) (t)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",392.4
"Lustgas (N2O) (t)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",271.8
"Lustgas (N2O) (t)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",4153.7
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",4757.3
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",4913.4
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",5995.1
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",6151.2
"Lustgas (N2O) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",41.4
"Lustgas (N2O) (kt CO2-ekv.)","AVFALL, TOTALT",237.1
"Lustgas (N2O) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",244.8
"Lustgas (N2O) (kt CO2-ekv.)","INDUSTRI, TOTALT",260.8
"Lustgas (N2O) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",154.5
"Lustgas (N2O) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",156.1
"Lustgas (N2O) (kt CO2-ekv.)","JORDBRUK, TOTALT",3620.9
"Lustgas (N2O) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",116.9
"Lustgas (N2O) (kt CO2-ekv.)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",81.0
"Lustgas (N2O) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",1237.8
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",1098.1
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",1098.1
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",1098.1
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",1098.1
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","AVFALL, TOTALT",..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","INDUSTRI, TOTALT",0.3
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",..
